Column1,Name_Food,Type_Food,Method1,Method2,Method3,Method4,Method5,Method6,Method7,Method8,Method9,Method10,Method11,Method12,Method13,Method14,Method15,Method16,Method17,Method18
110,แกงคั่วกะทิหอยแครง,ต้ม,ลวกหอยแครง ด้วยการต้มน้ำให้เดือดจัดใส่ หอยแครง ลงไปลวก 1 นาที และนำขึ้นมาน็อคน้ำเย็น จากนั้นแกะเอาแต่เนื้อ หอยแคลง ออกมาและพักไว้ก่อน,โขรกพริกแกง โดย โขรก พริกแห้ง พริกไทย ข่า ตะไคร้ หอมแดง ขมิ้น กระเทียม ผิวมะกรูด และ กะปิ โขรกให้ส่วนผสมละเอียดเป็นเนื้อเดียวกัน นำมาพักไว้ก่อน,ตั้งกระทะให้ร้อน นำ หัวกะทิ ลงไปคั่ว จากนั้นใส่ พริกแกง ลงไปต้มให้แตกมัน จากนั้นใส่หางกะทิลงไป ปรุงรสด้วยน้ำตาลปี๊บ น้ำปลา และ ผงยี่หร่า จากนัั้นใส่ใบชะพลูลงไป ตามด้วย หอยแครง และ พริกสด,เสริฟ แกงคั่วกะทิหอยแครง อาหารสุขภาพ อุดมไปด้วย สมุนไพรที่มีประโยชน์ต่อสุขภาพ,,,,,,,,,,,,,,
111,ต้มยำรวมมิตรทะเล,ต้ม,ต้มน้ำให้เดือด จากนั้นนำกุ้ง ปลา ปลาหมึก และหอยลงไปลวกให้สุก จากนั้นพักไว้ก่อน ความอร่อยของต้มยำทะเล อยู่ที่เนื้อสัตว์สุกเท่ากันทุกประเภท ดังนั้นการนำเนื้อสัตว์มาลวกก่อน จะทำให้เนื้อสัตว์ทุกประเภทที่นำมาทำสุกเท่ากัน ทำให้ไม่เสียรสชาติของอาหารทะเล,ต้มน้ำซุปหมู จากนั้นใส่ ข่า ตะไคร้ หอมแดง และใบมะกรูด(ฉีกใบไม่เอาแกนใบ) ต้มด้วยไฟอ่อนๆ ให้ได้กลิ่นหอมของสมุนไพรออกมาก่อน,ปรุงรสด้วย พริกสด น้ำปลา น้ำมะขามเปียก และพริกเผา จากนั้นเร่งไฟให้แรงขึ้น,ใส่ผักชีฝรั่งลงไป ใส่ กุ้ง ปลา หอย ปลาหมึก และปิดไฟ จากนั้นเติมนมข้นจืด และน้ำมะนาวลงไป ชิมรสชาติและแต่งรสชาติตามใจชอบ,"เสริฟต้มยำรวมมิตรทะเล วางไข่ต้มด้านบน กับข้าวไทย เมนูสุขภาพ อาหารจานเดียว
",อาหารทะเล ให้เลือกส่วนของอาหารที่สดใหม่ อาหารที่สด ใหม่ จะทำให้อาหารมีเนื้อแน่นและหวานอร่อยแบบธรรมชาติ,กุ้งในการทำกุ้งให้อร่อย ให้ต้มน้ำร้อนอย่าให้นานเกินไป เนื่องจากเนื้อกุ้งหากต้มนานเกินไป เนื้อกุ้งจะแข็ง และทำให้เนื้อกุ้งไม่อร่อย,หอย ในการเตรียมอาหารเมนูหอย นั้นให้แช่น้ำก่อน ให้หอยคลายโคลนออกมาก่อน และการลวกหอยให้ลวกให้พอดี อย่าลวกนานเกินไป เนื้อหอยจะแห้งและแข็งเกินไป,เนื้อปลา ให้ล้างให้สะอาด และลวกเนื้อปลาให้พอดี หากลวกนานเกินไปเนื้อปลาจะเละ หากลวกน้อยเกินไป เนื้อปลาจะไม่สุก,ไข่ต้มยางมะตูม ให้ใช้ไข่เป็ด ต้มในความร้อนและเวลาที่เหมาะสม จะได้ไข่ยางมะตูมที่อร่อย,เทคนิคการปลอกเปลือกไข่ต้ม ให้นำไข่ต้มไปแช่เย็นก่อน ให้เลือกไข่แยกตัวกับเนื้อไข่ขาวก่อนจะได้ปลอกง่าย,พริกสดในการทำต้มยำ ให้เลือกใช้พริกขี้หนูสวนผสมกับพริหชี้ฟ้า จะให้สีสันและรสเผ็ดที่พอดี,น้ำซุปที่ใช้ในการทำต้มยำ ให้ใช้น้ำซุปกระดูก จะได้ความหวานกลมกล่อมมากกว่าน้ำเปล่า,ให้ลวกเนื้อ และ อาหารทะเล ต่างหาก เพื่อให้เราสามารถดูความสุกของเนื้อที่เหมาะสม หากใส่ทุกอย่างลงไปต้มเลย อาหารแต่ละตัวสุกไม่ตรงกัน บางอย่างสุก แต่บางอย่างอาจไม่สุก หรือ สุกมากเกินไป การลวกแยก และเมื่อปรุงรสต้มยำเสร็จ ค่อยใส่เนื้อลงไปในต้มยำ จะได้ต้มยำที่เนื้ออร่อย,,,,
112,แกงเขียวหวานทะเล,ต้ม,ล้างปลาหมึก กุ้ง และหอยให้สะอาด จากนั้นต้มน้ำให้เดือด นำกุ้ง หอย และปลาหมึกไปลวกให้สุก จากนั้นนำมาพักไว้ก่อน,ตั้งกระทะต้มกะทิจนร้อนประมาณ 3 – 5 นาที จากนั้นใส่เครื่องแกงเขียวหวานลงไปต้มกับกระทิสักพัก,จากนั้นใส่น้ำปลา น้ำตาล ต้ม 1 นาที ใส่มะเขือเปราะที่หั่นไว้แล้ว ใส่น้ำและใส่น้ำซุปไก่ ต้มต่อไปสักพัก,ใส่ใบมะกรูดและใบโหระพา รอจนเดือด จากนั้นจึงปิดไฟ ใส่เนื้อกุ้ง ปลาหมึก และหอยลงไปผสม เสริฟใส่ชามที่เตรียมไว้ อาหารง่ายๆ เมนูแกงเขียวหวาน,เนื้อสัตว์ที่นำมาทำอาหาร ต้องเป็นเนื้อสัตว์ที่สด ใหม่ จะได้ความหวาน และเนื้อนุ่มๆ สดๆ,การล้างทำความสะอาดช่วยให้อาหารไม่มีความคาว,อาหารทะเลอย่างกุ้ง หอย ปลาหมึก และเนื้อปลา ให้นำไปลวกก่อน เพื่อเราจะสามารถความคุมความนุ่มของอาหารแต่ละตัวได้ โดยน้ำที่ใช้ในการลวก อย่านำกลับมาใช้ซ้ำ เช่น น้ำลวกกุ้ง พอลวกเสร็จให้เททิ้ง ไม่นำมาลวกปลา หรือ ปลาหมึกอีก เนื่องจากรสชาติจะกลบกันหมด,หอยในการเตรียมอาหารเมนูหอยนั้น ในหอยบางชนิด จะอมดินเอาไว้ เราต้องทำให้หอยคายดินก่อน ด้วยการนำหอยไปแช่น้ำไว้ก่อน จากนั้นนำไปต้ม หรือลวกแยกจากอาหาร หากนำไปต้มรวม ท่านอาจได้กินแกงเขียวหวานผสมดินโคลน ก็ได้,,,,,,,,,,
113,ขนมจีนน้ำยาปู,ต้ม,เตรียมเครื่องแกง โดย โขรก พริกแห้ง กะปิ ข่า ตะไคร้ ขิง ขมิ้น ผิวมะกรูด พริกไทย และ กระเทียม ให้ละเอียดเป็นเนื้อเดียวกัน,ตั้งหม้อต้ม นำกะทิลงไปต้ม จากนั้น นำเครื่องแกงลงไปต้มให้แตกมัน จากนั้นใส่เนื้อปูลงไป ปรุงรสด้วย น้ำตาล เกลือ ต้มให้เนื้อปูเปลื่อย,ใส่ ใบมะกรูด ลงไปต้มให้หอม เสริฟใส่ถ้วย ทานคู่กับขนมจีน,เนื้อปู เลือกใช้เนื้อปูสดๆ โดย การเลือกซื้อเนื้อปู ให้ดู ที่สีของเนื้อปู ขาว ไม่มีกลิ่นเน่า,ขนมจีน สำหรับ ทานคู่กับน้ำยาปู เคล็ดลับ คือ ให้นำไปนึ่งก่อน เนื้อขนมจีน จะนุ่ม เหนียว อร่อย,น้ำกะทิ สำหรับทำน้ำยาปู ให้ใช้ น้ำกะทิ คั้นสด ความหอมของกะทิสดๆ จะช่วยให้อาหารมีความ กลมกล่อมมากขึ้น,น้ำตาลที่เหมาะสำหรับ ขนมจีนน้ำยา คือ น้ำตาลปี๊บ ความหวานของน้ำตาลปี๊บ เหมาะสำหรับทำน้ำยาขนมจีน,พริกแกง สำหรับ พริกแกงใต้ ต้องมีความหอมของขมิ้นใต้ กลิ่นขมิ้นใต้ เป็นเอกลักษณ์ของ อาหารใต้,,,,,,,,,,
114,ต้มโคล้งทะเล,ต้ม,ต้มน้ำซุป ให้เดือด จากนั้นใส่ หอมแดง เห็ด ตะไคร้ และ ใบมะกรูด ลงไปต้ม จากนั้นตามด้วย กุ้ง ปลา หมึก และหอย,ปรุงรสด้วย น้ำมะขามเปียก เกลือ พริก และ น้ำมะนาว เสร็ฟพร้อมรับประทาน กับข้าวง่ายๆ,ต้มโคล้ง มี เอกลักษณ์ คือ รสจัดจ้าน ของสมุนไพร ไม่ใส่น้ำตาล ซึ่ง ความหวานของต้มโคล้ง ใช้ความหวานจาก น้ำซุปกระดูก,น้ำซุป ต้องใช้ น้ำซุปกระดูกหมู เคี้ยวจนหวาน ยิ่งเคี้ยวนาน ยิ่งทำให้อร่อย,อาหารทะเล ที่นำมาทำอาหาร ให้เลือก อาหารทะเล ที่สด ใหม่ ล้างให้สะอาด โดย ให้นำ ไปลวกก่อน ให้ลวกแยก และไม่ใช้น้ำลวก กลับมาลวก ซ้ำ เนื่องจาก กลิ่นของ วัตถุดิบ แต่ละชนิด จะทำให้ เสียรสชาติ,,,,,,,,,,,,,
115,อังโกะ นาเบะ,ต้ม,ต้มน้ำซุปกระดูก ใส่ สาเก มิโซะ ลงไป จากนั้น เมื่อน้ำเดือด ก็ นำเนื้อปลาลงไปลวก ให้สุก จากนั้นนำขึ้นมาพักไว้ก่อน,จากนั้นใส่ ผัก และ ส่วนผสมที่เหลือทั้งหมด ลงไปต้ม จากนั้นเสริฟ ใส่ชาม หรือ หม้อไฟ ใส่ปลาที่ลวกไว้แล้วด้านบน อังโกะนาเบะ,น้ำซุป ใช้ น้ำซุปต้มกระดูกหมู ที่ เคี้ยวจนหวาน อร่อย เทคนิคการทำน้ำซุปกระดูก คือ ต้มน้ำกับกระดูกหมู และใส่เกลือ เพิ่มความกลมกล่อม เคี้ยวด้วยไฟอ่อนๆ ประมาณ 6 ชั่วโมง จะได้ น้ำซุปที่อร่อย,สำหรับ น้ำซุปของอังโกะนาเบะ นั้น จะต้องใส่ หอมญี่ปุ่น สาเก และมิโซะ ลงไป จะได้รสชาติของ น้ำซุปอังโกะนาเบะ แสนอร่อย,เนื้อปลา ให้ใช้ เนื้อปลาสดๆ ต้องเป็น ปลาสด และ ล้างให้สะอาด จะได้ เนื้อปลาที่อร่อยที่สุด,,,,,,,,,,,,,
116,มาม่าต้มยำสไตล์เกาหลี,ต้ม,นำ เส้นมาม่า มา ลวกเส้นให้สุก จากนั้นพักไว้ก่อน จากนั้นนำ กุ้ง หั่นครึ่งตัว หน่อไม้ฝรั่ง และ เห็ดเข็มทอง ไปนึ่งให้สุก,จัดส่วนผสมทุกอย่างใส่จานกลมเรียงให้สวยงาม โดย เรียง กุ้ง เส้นมาม่า ปลาดิบ หน่อไม้ฝรั่ง เห็ดเข็มทอง ขิงดอง ต้นหอมซอย และ โรยหน้าด้วยพริกสด และ ใส่ ไข่แดง ไว้ตรงกลางของจาน,เสริฟ มาม่าต้มยำ สไตล์เกาหลี กับข้าว เมนูเส้น,เส้นมาม่า เคล็ดลับการลวกเส้นมาม่า ให้ลวก ด้วยน้ำเดือด ใส่เส้นมาม่าลงไปลวก สังเกตุว่าเส้นเริ่มอร่อย ก็ให้นำออกมาพักให้เย็นได้ เส้นมาม่าจะเหนียวนุ่ม หมาะสำหรับรับประทานกับ อาหารต่างๆ,กุ้ง ให้เลือกกุ้งแม่น้ำ ตัวโตๆ สดๆ วิธีการเลือกกุ้ง ให้ดูที่สีของกุ้ง ให้สีสดๆ เนื้อแน่นๆ ไม่มีกลิ่นเหม็น,ปลาเซลมอน ให้เลือก ใช้เนื้อปลาเซลมอนสดๆ โดยสังเกตุจากสีของเนื้อปลา สีส้ม เนื้อแน่น ไม่เละ,การลวกปลาเซลมอน ให้ลวกในน้ำเดือด สำหรับปลาเซลมอน เวลาสุกเนื้อเละง่าย ให้ระวัง ถ้าเนื้อปลาแตก จะทำให้ไม่น่ารับประทาน,พริกสด ให้เลือกใช้ พริหชี้ฟ้า สำหรับ เมนูนี้ ไม่เน้นรสเผ็ดมาก แต่ให้มีสีสันของพริก,ขิงดอง ให้เลือกขิงดอง แบบสดใหม่ เนื่องจาก ขิงดอง จะมีสรชาติเผ็ด ของขิงอยู่ แต่กลิ่นไม่แรงเท่าขิงสด,,,,,,,,,
117,โอเด้ง,ต้ม,ต้มน้ำซุป ด้วย สาหร่าย หัวไช้ท้าว มันฝรั่ง สาเก ซอสถั่วเหลือง และ น้ำตาล ต้มประมาณ 40 นาที,จากนั้นใส่ เครื่องเคียง ทั้งหมดลงไป สามารถ รับประทานได้เลย โอเด้ง อาหารญี่ปุ่น,น้ำซุป สำหรับทำโอเด้ง นั้น มีความสำคัญ เนื่องจากน้ำซุปที่อร่อย จะทำให้ได้ โอเด้งที่อร่อย น้ำซุปให้น้ำซุป หัวไชท้าว โดย การเลือก หัวไชท้าว ให้เลือก หัวไชท้าวหัวใหญ่ๆ,ส่วนผสมที่ใส่ โอเด้ง ให้ใช้วัตถุดิบ ที่สดใหม่ และก่อนำมาทำอาหาร ให้ล้างให้สะอาดก่อน เนื่องจากอาหาร บางชนิด มีน้ำมันในตัว หากทิ้งเอาไว้ น้ำมันจะคลายตัว เป็น เหมือนเมือก แต่หากล้างออก ก็สามารถกินได้ ดังนั้น วัตถุดิบทุกอย่าง ต้องสด ใหม่ เสมอ,,,,,,,,,,,,,,
118,ต้มส้มปลาหมึก,ต้ม,"
","เริ่มจากเตรียมเครื่องสำหรับทำต้มส้มให้พร้อมก่อน โดยเฉพาะ ปลาหมึก ต้องล้างให้สะอาด เพื่อไม่ให้คาว
","เริ่มทำโดย ตั้งหม้อต้มน้ำเปล่าให้เดือด จากนั้นเมื่อน้ำเดือด ให้ลดไปเป็นไฟอ่อนๆ ใส่ ข่า ตะไคร้ ใบมะกรูด และ หอมแดงลงไปต้ม ค่อยๆต้มด้วยไฟอ่อนให้หอม
","จากนนั้นใส่ใบมะขามอ่อนลงไป และ ปรุงรสด้วย น้ำปลา พริกขี้หนูสวน และ น้ำตาลทราย เมื่อได้รสชาติกลมกล่อม
","ให้ใส่ปลาหมึกลงไปต้ม ไม่ต้องต้มนาน เดี๋ยวปลาหมึกแห้งและแข็ง เมื่อปลาหมึกได้ที่ จึงปิดไฟ และ ใส่ต้นหอมและผักชีฝรั่ง
",,,,,,,,,,,,,
0,ข้าวเหนียวปิ้งไส้กุ้ง,ปิ้งย่าง,"
","เริ่มจากการทำไส้กุ้ง โดย นำรากผักชี กระเทียม พริกไทย และ กุ้งแห้ง นำมาโขรกให้ละเอียด หรือ นำมาปั่นในเคร่ื่องปั่น
","ตั้งกระทะน้ำมันให้ร้อน นำ รากผักชี กระเทียม พริกไทย และ กุ้งแห้งบด ลงไปผัดให้หอมสุก
","จากนั้นใส่ห้วกะทิ น้ำตาลปี๊บ เกลือ ลงไป ผัดให้ส่วนผสมเข้ากัน
","ใส่สีแดงผสมอาหารลงไป จะได้น้ำกะทิสีแดง จากนั้นนำเนื้อมะพร้าวขูดลงไปผัด โดยผัดให้เนื้อมะพร้าวขูดแห้ง
","นำไส้กุ้งมาพักให้เย็น ก็ได้ไส้กุ้งสำหรับนำมาห่อข้าวเหนียวแล้ว
","เริ่มทำข้าวเหนียวมูน โดย ล้างข้าวเหนียวให้สะอาด จากนั้นนำมาแช่น้ำ 2 ชั่วโมง
","จากนั้นนำมานึ่งในหม้อนึ่ง ใช้เวลานึ่ง 30 นาที ในระหว่างนั้นให้เตรียมน้ำกะทิสำหรับมูน
","ตั้งหม้อต้ม นำหัวกะทิ ผสม น้ำตาล และ เกลือ โดยนำมาต้มเคี้ยวในไฟอ่อนๆ ให้น้ำกะทิ ออกสีเหลืองใส ร้อนๆ
","เมื่อน้ำกะทิ และ ข้าวเหนียวสุกได้ที่ตามเวลา ให้น้ำ ข้าวเหนียวนึ่งร้อนๆ ผสมกับน้ำกะทิร้อนๆ ผสมให้ส่วนผสมเข้ากัน และ พักทิ้งไว้ ให้ข้าวเหนียวดูดน้ำกะทิให้สุก
","พักเอาไว้ให้ข้าวเหนียวเย็น
","เตรียมใบตองสำหรับห่อข้าวเหนียว วางข้าวเหนียวก่อน 1 ชั้น ใส่ไส้ตรงกลาง และ วางข้าวเหนียวทับอีกชั้นหนึ่ง
","ห่อใบตอง เอาไม้กลัดกรัดให้แน่น
","นำข้าวเหนียวไปปิ้งให้ใบตองแห้งและออกไหม้ เพื่อให้ใบตองส่งกลิ่นหอม เพียงเท่านี้ก็พร้อมสำหรับข้าวเหนียวปิ้งไส้กุ้ง
",,,,
1,หมูย่างหมักตะไคร้,ปิ้งย่าง,เตรียมเครื่องหมัก โดย รากผักชี กระเทียม และ พริกไทย โขรกให้ละเอียด ปรุงรสด้วย น้ำตาลทราย ซอยน้ำมันหอย ซอสปรุงรส ซีอิ้วขาว และ ตะไคร้บดละเอียด ผสมให้เครื่องหมักเข้ากัน,"นำเนื้อหมูไปทุบให้เนื้ออ่อนและนุ่ม และ นำไปหมักในเครื่องหมัก ใช้มือนวดเนื้อหมูกับเครื่องหมัก ให้เครื่องหมักซึมเข้าตัวเนื้อหมู และ แช่ตู้เย็น 3 ชั่วโมง
","ตั้งไฟย่าง ให้ไฟปานกลาง นำเนื้อหมูไปย่างบนตะแกรง จนกว่าเนื้อหมูสุก ก็สามารถนำมาหั่นรับประทานได้
","ทำน้ำจิ้ม โดย ผสมน้ำตาลปี๊บ น้ำปลา น้ำมะนาว ข้าวคั่ว และ พริกป่น ผสมให้ส่วนผสมละลายเข้ากัน
","เสริฟหมูย่างทานคู่กับผักสดๆ และ น้ำจิ้มรสเด็ด หรือ ข้าวสวยร้อนๆ
",,,,,,,,,,,,,
2,ไก่ย่างวิเชียรบุรี,ปิ้งย่าง,เริ่มจากการล้างไก่ให้สะอาดก่อน จากนั้น นำมาหมัก โดยเครื่องหมัก ประกอบด้วย ตะไคร้ ขิง กระเทียม รากผักชี พริกไทยดำ ใบเตย ซอสน้ำมันหอย ซีอิ้วขาว นมสด และ เกลือ ให้หมักดดยใช้เวลาประมาณ 3 ชั่วโมง,เมื่อหมักจนได้ไก่ตามต้องการแล้ว ให้นำไก่มาใส่ไม้สำหรับย่าง จากนั้นตากลมให้หนังไก่แห้งพอประมาณ และ เก็บพักไว้ก่อน 1 คืน จึงสามารถนำไปย่างได้,เริ่มการย่างไก่ โดยใช้ไฟอ่อน นำมาย่างและพลิกไก่ทุกๆ 15 นาที โดยให้ใช้น้ำมันทาที่หนังไก่เป็นระยะๆ นำไก่มาย่างใช้เวลาประมาณ 45 นาที ก็จะได้ไก่ย่างวิเชียรบุรีที่หนังกรอบอร่อย เสริฟไก่ย่างพร้อมด้วย น้ำจิ้มไก่ย่างสูตร ,ไก่ต้องเลือกไก่ที่สดๆ ขนาด 7 ขีด จะเป็นไก่ที่มีขนาดพอดี ไม่ใหญ่หรือเล็กเกิน,การล้างไก่ให้สะอาด จะทำให้ไม่มีเศษสิ่งสกปรกทำให้ไก่ย่าง น่ารับประทาน,เทคนิคการทำให้หนังไก่กรอบอร่อย คือ การนำไก่ย่างที่หมักจนเข้าเนื้อแล้ว นำมาผึ่งลมให้หนังแห้งก่อน และ ทาน้ำมันพืช ที่หนังเป็นระยะๆ จะช่วยให้หนังไก่กรอบอร่อยๆ,ไฟที่ใช้ในการย่างไก่ ต้องใช้ไฟอ่อน ให้เนื้อไก่และหนังไก่สุกพอดี หากใช้ไฟแรงอาจทำให้หนังไก่ไหม้ก่อนที่หนังไก่จะสุก,ไก่ย่างที่อร่อย ต้องกินร้อนๆ หากทิ้งให้ไก่เย็นจะทำให้ไก่คายน้ำ และ แห้งกระด้าง ไม่น่ารับประทาน,การย่างไก่ ต้องไม่ย่างให้ไก่แห้งเกินไป จะทำให้ไก่แข็งกระด้างไม่อร่อย,,,,,,,,,
3,มะเขือม่วงหมูสับ,ปิ้งย่าง,"
","หมักหมูสับ โดย ผสม หมูสับ มันหมูบด พริกไทยป่น รากผักชี เห็ดหูหนูซอย และ แป้งมัน นวดให้ส่วนผสมเข้ากัน หมักในตู้เย็น 45 นาที
","จากนั้นนำเอาหมูสับ ทาบนมะเขือม่วง ให้มีความหนาพอสมควร ไม่หนา หรือ บางเกินไป จากนั้นนำมาพักเอาไว้ก่อน
","นำมะเขือม่วงที่ใส่หมูสับแล้ว ไปนึ่งประมาณ 3 นาที ให้เนื้อหมูพอสุก แต่มะเขือไม่สุกเกินไป
","จากนั้นจึงนำไปย่างบนเตา ให้สุกทั้งสองด้าน ให้มีความหอม จากนั้นจัดใส่จานให้สวยงาม
","ทำน้ำราด โดย เคี้ยว น้ำตาลทราย กับ เกลือ ใส่น้ำลไปนิดหน่อย ปรุงรสด้วย น้ำปลา พริกขี้หนูสวน และ น้ำมะนาว เคี้ยวจนได้รสชาติ น้ำราดเหนียวๆ เมื่อเหนียวได้ที่ ใส่ถั่วลิสงคั่วลงไป ปิดไฟ
","ราดน้ำลงบน มะเขือม่วงย่าง จัดจานให้สวยงามด้วยผักต่างๆ พร้อมรับประทานได้
",,,,,,,,,,,
4,สลัดผักหมูย่าง,ปิ้งย่าง,เริ่มจากการหมักหมู ด้วย รากผักชีบด กระเทียม พริกไทยป่น ซอสปรุงรส ซอสน้ำมันหอย น้ำตาลทราย และ ตะไคร้ ผสมให้ส่วนผสมเข้ากัน และ หมักทิ้งไว้ 45 นาที,ตั้งเตาย่าง ไฟปานกลาง นำหมูลงไปย่างบนตะแกรงย่าง กลับด้านทุก 2 นาที ย่างประมาณ 15 นาที หรือ หากสังเกตุว่าหมูสุกแล้วก็ถือว่าได้ที่,หั่นหมูย่างให้เป็นชิ้นขนาดพอดีคำ,นำต้นหอมมาลวกน้ำร้อนจากนั้น ตัดใบหอมออก เพื่อจะนำใบหอมมาพันผักสลัด,นำผักกาดหอมมาห่อหมูย่าง ผักกาดหอม 1 ใบ ต่อหมูย่าง 1-2 ชิ้น ตามชอบ วางพริกชี้ฟ้าหั่นเป็นเส้น และ ผักชีด้านบน นำใบต้นหอมลวกพันผักกาดหอมให้เป็นชิ้นไม่หลุดจากกัน ทำจนหมูหมด หรือ ตามจำนวนที่พอใจ,เสริฟ สลักผักหมูย่าง ทานคู่กับน้ำจิ้มปิเปี๊ยะเวียดนาม และผักต่างๆ เช่น แตงกวา มะเฟือง กล้วยดิบ ผักแพรว ผักชีฝรั่ง เป็นต้น,ผักให้เลือกใช้ผักที่สดๆ โดยเฉพาะผักกาดหอม เป็น พระเอกของเมนูนี้ ให้เลือกใช้ผักกาดแก้ว สีเขียวสดใส น่ารับประทาน เมื่อได้ผักมาแล้วให้ล้างให้สะอาดและนำไปแช่เย็นก่อนนำมาห่อหมูย่าง,เนื้อหมูสำหรับนำมาทำหมูย่าง ให้เลือกใช้ เนื้อหมูสันใน เป็นเนื้ิอหมูส่วนที่นุ่ม และ ไขมันน้อยเหมาะสำหรับทำหมูย่าง,การย่างหมู สำคัญที่ไฟ ต้องพอดี และ ย่างในเวลาที่เหมาะสม ไฟต้องเป็นไฟปานกลาง ย่างประมาณ 15 นาที เนื้อหมูจะสุก และ นุ่ม มีน้ำซอสในเนื้อหมู เนื้อหมูจะไม่แห้งเกินไป หอมเครื่องหมักอร่อย,หมูย่าง ให้พักให้เย็นก่อน จึงค่อยนำมาใช้ผักห่อ หากห่อในขระที่หมูย่างยังร้อนอยู่ ผักจะเฉาไม่สวยงาม และ ไม่กรอบ,สามารถใส่ผักอื่นๆได้ตามใจชอบ เช่น แตงกวา มะเฟือง กล้วยดิบ ผักแพรว ผักชีฝรั่ง เป็นต้น,,,,,,,
5,ไส้อั่ว,ปิ้งย่าง,"
","เริ่มจากการเตรียมไส้อ่อนก่อน นำไส้มาล้างให้สะอาดก่อน และ นำมาพักเอาไว้ก่อน
","เตรียมพริกแกง โดย โขรก ตะไคร้ พริกแห้ง เกลือ ขมิ้น กระเทียม หอมแดง โขรกให้ส่วนผสมละเอียดเข้ากัน
","นำเนื้อหมูและมันหมูมาบดให้ละเอียด จากนั้นนำมานวดผสมกับพริกแกง และ ใบมะกรูดซอย ให้เข้ากัน
","ปรุงรสด้วยน้ำปลาและเกลือ หมักทิ้งไว้ 30 นาที
","จานนั้นนำเนื้อหมูมากรอกใส่ในไส้อ่อน และ มันให้เป็นท่อนขนาดตามต้องการ
","จากนั้นนำไปย่างในไฟอ่อนๆ ประมาณ 45 นาที จะได้ไส้อั่วแสนอร่อย
",,,,,,,,,,,
6,พวงนมหมูย่าง,ปิ้งย่าง,"
","หมัก พวงนมหมู ด้วย นมสด รากผักชี กระเทียม พริกไทย ซอสปรุงรส ซอสถั่วเหลือง และน้ำตาล
","นวดให้เครื่องหมักซึมเข้าพวงนมหมูจนแห้ง จากนั้นนำไปแช่เย็น 3 ชั่วโมง ก็สามารถนำมาย่างได้
","เตรียมเตาถ่านย่าง โดยใช้ไปย่างที่ปานกลาง ไม่แรง หรือ อ่อนเกินไป
","นำพวงนมหมูลงไปย่างบนตะแกรง โดยกลับหน้าพวงนมหมู ทุก 5 นาที อย่าให้มีรอยไหม้
","เมื่อพวงนมหมูสุดดีแล้ว ก็สามารถนำมาหั่นเป็นชิ้นขนาดพอดีคำ ทานคู่กับน้ำจิ้มแจ่ว และ ข้าวเหนียวร้อนๆ
",,,,,,,,,,,,
7,ไก่ย่างเขาสวนกวาง,ปิ้งย่าง,"
","เริ่มจากหมักไก่ โดย เอาขิงและกระเทียมบดละเอียด ปรุงรสด้วย น้ำตาลปี๊บ เกลือ ซอสปรุงรส ซอสดำ พริกไทยป่น ผสมให้น้ำหมักละลายเข้ากัน จากนั้นนำเนื้อไก่ลงไปคลุกหมักให้ทั่วเข้าเนื้อไก่ หมักทิ้งไว้ 1 คืน
","เตรียมน้ำจิ้ม โดย ผสม น้ำตาลปี๊บ น้ำมะขามเปียก พริกป่น และ ซีอิ้วขาว นำไปเคี้ยวให้ละลายเข้ากัน พักให้เย็นก้จะได้ น้ำจิ้มสูตรมะขามเปียก หวานอมเปรี้ยว อร่อยๆ
","เริ่มการย่างไก่ ด้วย การเตรียมไฟ ให้ความร้อนปานกลาง ถ่านไฟที่ใช้ย่างไก่ ไม่ต้องอยู่ใกล้ไก่มาก เพราะความร้อนจะทำให้หนังไก่ไหม้ก่อน
","นำไก่ลงไปย่างบนตะแกรง กลับด้านไก่ ทุกๆ 2 นาที และทาน้ำมันพืชที่หนังไก่ทุกครั้งที่กลับไก่ ใช้เวลาย่าง 45 นาที หากได้ความร้อนที่เหมาะสม
","เมื่อได้ไก่ย่างที่สุกพร้อมแล้ว สับเนื้อไก่ใส่จาน เสริฟคู่กับน้ำจิ้มรสเด็ด เหมาะสำหรับกินกับข้าวเหนียว ส้มตำ ต้มแซ่บ
",,,,,,,,,,,,
9,หมูย่างมันฝรั่งบด,ปิ้งย่าง,บดมันฝร่งต้มผสม มายองเนส เกลือและพริกไทยผสมให้เข้ากัน,ตั้งกระทะ ผัดหมูที่หั่นไว้ ผัดให้สุก แล้วนำใส่จาน,วางมันฝรั่งบดบนหมู,เตรียมซอส โดย ตั้งกระทะผัดนม เนย ซอสokonomiyaki ซอสหอยนางรม เกลือ และพริกไทย ผัดให้เข้ากัน,เสร็ฟซอสในจากหมูที่เตรียมไว้ หมูย่าง,pork sliced 1 cup,potatoes mushed 2 tablespoon,panko 1 tablespoon,mayonnaise 1 tablespoon,milk 1 tablespoon,okonomiyaki sauce 2 tablespoon,oyster sauce 2 tablespoon,butter 1 teaspoon,salt 1 teaspoon,pepper 1 teaspoon,,,
