Column1,Type_Food,Name_Food,ingredint0,ingredint1,ingredint2,ingredint3,ingredint4,ingredint5,ingredint6,ingredint7,ingredint8,ingredint9,ingredint10,ingredint11,ingredint12,ingredint13,ingredint14,ingredint15,ingredint16,ingredint17,ingredint18,ingredint19,ingredint20,ingredint21,ingredint22,ingredint23,ingredint24,ingredint25
31,ปิ้งย่าง,ปลาซาบะย่างมิโซะ,ปลาซาบะหั่นชิ้น,หอมหั่น 2 ช้อนโต้ะ,ขิงสับ 4 ช้อนโต้ะ,miso 3 ช้อนโต้ะ,ซอสถั่วเหลือง 3 ช้อนโต้ะ,มิริน 3 ช้อนโต้ะ,สาเก 2 ช้อนโต้ะ,น้ำตาล 3 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,
32,ปิ้งย่าง,ไก่ย่างคาราเกะ,ไก่หั่นชิ้น 1 ถ้วย,หอมแดงสับ 1 ช้อนโต้ะ,กระเทียมสับ 1 ช้านโต้ะ,ขิงบด 1  ช้อนโต้ะ,ซอสถั่วเหลือง 2 ช้อนโต้ะ,สาเก 2 ช้อนโต้ะ,ผงรสดี 1 ช้อนโต้ะ,ซอสkatakuriko 2 ช้อนโต้ะ,น้ำมันพืช 3 ถ้วย,,,,,,,,,,,,,,,,,
33,ปิ้งย่าง,ไก่ย่าง Gingered Chicken,ไก่ประมาณ 6 ชิ้น,เกลือ 4 ช้อนชา,น้ำตาล 3 ช้อนโต้ะ,กระเทียมบด 2 ช้อนโต้ะ,หอมแดงบด 2 ช้อนโต้ะ,ขิงบด 2 ช้อนโต้ะ,ตะไคร้บด 2 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,,
34,ปิ้งย่าง,หมูย่างใบชะพลู,หมูบด 1 ถ้วย,มันหมูบด 1/2 ถ้วย,เนื้อหมูเด้ง 3 ช้อนโต้ะ,รากผักชี กระเทียม พริกไทย โชลกละเอียด 2 ช้อนโต้ะ,ตะไคร้โขลกละเอียด 2 ช้อนโต้ะ,น้ำตาล 1 ช้อนโต้ะ,ซอสน้ำมันหอย 2 ช้อนโต้ะ,ซอสปรุงรส 1 ช้อนโต้ะ,ใบชะพลู 10 ใบ,เส้นหมี่ลวก 1 ถ้วย,ผักสด เช่น ผักกาดหอม ผักชีฝรั่ง กระเทียม พริกสด แตงกวา,น้ำจิ้มปอเปี๊ยะเวียดนาม,,,,,,,,,,,,,,
35,ปิ้งย่าง,หมูย่างตะไคร้,หมูสามชั้น หรือหมูสันใน ความหน้าประมาณครึ่งนิ้ว 3 ชิ้น,ตะไคร้บด 3 ช้อนโต้ะ,หอมแดงบด 3 ช้อนโต้ะ,พริกไทย 1 ช้อนโต้ะ,ซอสหอยนางรม 2 ช้อนโต้ะ,น้ำตาล 1 ช้อนโต้ะ,ซอสถั่วเหลือง 2 ช้อนโต้ะ,รากผักชี กระเทียม พริกไทย โขลก 2 ช้อนโต้ะ,หมีลวก 1 ถ้วย,ผักสด เช่น ผักกาดหอม ผักชีฝรั่ง แตงกวา พริกสด กระเทียม สับปะรด เป็นต้น,,,,,,,,,,,,,,,,
36,ปิ้งย่าง,ข้าวผัดหมูแดง,ข้าวสวย 1 ถ้วย,หมูแดง หั่นเป็นชิ้น 5-10 ชิ้น ,ไข่ไก่ 1 ฟอง,ซีอิ้วขาว 1 ช้อนโต้ะ,ซอสหอยนางรม 1 ช้อนโต้ะ,ต้นหอมซอย 1 ช้อนโต้ะ,หอมใหญ่ซอย 1 ช้อนโต้ะ,แครอท หั้นลูกเต่าเล็กๆ 1 ช้อนโต้ะ,น้ำมันพืช สำหรับผัด 1 ช้อนโต้ะ,แตงกวา และ ต้นหอม สำหรับเครื่องเคียง,,,,,,,,,,,,,,,,
37,ปิ้งย่าง,ข้าวหมูแดง,ข้าวสวย 1 จาน,หมูแดง หั่นเป็นชิ้นพอคำ 10 ชิ้น ,กุนเชียง หั่นเป็นชิ้น 4-5 ชิ้น ทำให้กุนเชียงสุกก่อน,ไข่ต้ม ครึ่งฟอง,น้ำซุป 2 ถ้วย,ซีอิ้วขาว 2 ช้อนโต้ะ,น้ำตาลทราย 4 ช้อนโต้ะ,งาขาวคั่ว 1 ช้อนโต้ะ,แป้งมันผสมน้ำ 1 ช้อนโต้ะ,เกลือ 1 ช้อนชา,น้ำแดง ที่ได้จาก การย่างหมูแดง,แตงกวา และ ต้นหอม สำหรับเครื่องเคียง,,,,,,,,,,,,,,
38,ปิ้งย่าง,หมูแดง,หมูสันใน 1 ชิ้น,สีแดงผสมอาหาร 1 ช้อนชา,ซีอิ้วขาว 1 ช้อนโต้ะ,ซอสหอยนางรม 1 ช้อนโต้ะ,รากผักชี 2 ต้น,กระเทียม 4 กรีบ,พริกไทยขาวเม็ด 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,,
39,ปิ้งย่าง,หมูม้วนอบซอส,หมูสามชั้นแผ่นใหญ่,ซอสหอยนางรม 2 ช้อนโต้ะ,ซอสถั่วเหลือง 2 ช้อนโต้ะ,น้ำตาล 2 ช้อนโต้ะ,รากผักชี กระเทียม พริกไทย บด 2 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,,,,
40,ปิ้งย่าง,ปลาทับทิมย่างจิ้มแจ่ว,ปลาทับทิมขนาด 1 กิโล,ตะไคร้ 2 ต้น ( หั่นเป็นชิ้น ),หอมแดง 2 หัว,กระเทียม 2 หัว,เกลือ 1 ถ้วย,น้ำจิ้มแจ่ว,ผักสดสำหรับทานกับปลาย่าง เช่น ผักกาดหอม ผักกาดขาว ถั่วฝักยาว แตงกาว ไข่ต้ม,,,,,,,,,,,,,,,,,,,
41,ปิ้งย่าง,หมูสะเต๊ะเจ,โปรตีนเกษตรแผ่น 1 แผ่น,ตะไคร้บด 1 ช้อนโต้ะ,น้ำตาล 1 ช้อนโต้ะ,เกลือ 1 ช้อนชา,ผงขมิ้น 1 ช้อนชา,ข่าบด 1 ช้อนโต้ะ,ยี่หร่าบด 1 ช้อนชา,เปลือกลูกมะกรูดขูด 1 ช้อนชา,ซอสถั่วเหลือง 2 ช้อนโต้ะ,กะทิ 1 ถ้วย,,,,,,,,,,,,,,,,
0,ต้ม,หย่าเก่ย,เนื้อส่วนขาหมู หั่นเป็นชิ้นพอคำ 1 ถ้วย,ข่านำมาซอยเป็นแผ่น 1 หัว,ตะไคร้หั่นเป็นท่อน 4-5 ต้น,ใบมะกรูด ฉีก 5-8 ใบ,กะปิ 2 ช้อนโต้ะ,น้ำตาล 4 ช้อนโต้ะ,ซอสน้ำมันหอย 2 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,เต้าเจี้ยวบด 2 ช้อนโต้ะ,เหล้าขาว 3 ช้อนโต้ะ,น้ำเปล่า 1 ถ้วย,,,,,,,,,,,,,,,
1,ต้ม,แกงผักปั๋งใส่แหนม,ยอดอ่อนผักปั๋ง 4 ถ้วย,แหนม 2 ห่อ ประมาณ 1 ถ้วย โดยซอยเป็นชิ้น,พริกหนุ่ม 2 เม็ด นำมาหั่นเป็นท่อนๆ,หอมแดง 3 หัว,มะเขือเทศ 3 ลูก นำมาหั่นครึ่ง,กระเทียม 2 หัว,กะปิ ครึ่ง ช้อนโต้ะ,ปลาร้า 1 ช้อนชา,น้ำมะนาว 2 ช้อนโต๊ะ,เกลือ 1 ช้อนชา,ต้นหอมและผักชีอย่างละ 1 ต้น นำมาซอย,น้ำซุปกระดูกหมู 4 ถ้วย,,,,,,,,,,,,,,
2,ต้ม,แกงจืดไข่ม้วน,เนื้อหมูบด 1 ถ้วยตวง,ไข่ไก่ 2 ฟอง,วุ้นเส้น 1 กำมือ,ซอสปรุงรส 2 ช้อนโต้ะ,พริกไทยป่น 1 ช้อนชา,เห็ดหูหนูแห้ง 10 ดอก แช่น้ำและซอยเป็นเส้น,น้ำซุปกระดูกหมู 2 ถ้วย,ผักกาดขาว 1 หัว หั่นเป็นชิ้นขนาดพอคำ,แครอทหั่นเป็นแผ่นหนา 5-6 แผ่น,เห็ดหอม 3 ดอก ซอยเป็นชื้นๆ,ต้นหอม 2 ต้น,ผักคื่นฉ่าย 2 ต้น,เต้าหู้อ่อน 1 ห่อ,,,,,,,,,,,,,
3,ต้ม,หมูหนาว,ขาหมู หั่นเป็นชิ้นพอดีคำ 1 ถ้วย,หอมหัวใหญ่ 1 หัว,เห็ดหูหนูแห้ง 6 ดอก,พริกไทยป่น 1 ช้อนชา,รากผักชี 2 ต้น,เกลือ 1 ช้อนชา,,,,,,,,,,,,,,,,,,,,
4,ต้ม,ต้มจืดมะระซี่โครงหมู,ซี่โครงหมู หั่นเป็นท่อนขนาดพอดีคำ ครึ่งกิดลกรัม หรือ ประมาณ 15-20 ชิ้น,มะระจีน 1 ผล นำมาหั่นเป็นชื้นๆพอดีคำ,เห็ดหอมแห้ง 2-3 ดอก นำมาหั่นเป็นชิ้นพอดีคำ,เกลือ 1 ช้อนชา,น้ำเปล่า 2 ลิตร,กุ้งแก้ง 10-15 ตัว,คื่นฉ่าย 1 ต้น นำมาหั่นเป็นท่อน,ผักชี 1 ต้น นำมาซอย และ นำรากไปต้มน้ำซุป,พริกไทยแห้ง 1 ช้อนโต้ะ,กระเทียม 3 กลีบ นำมาบุบให้แตก,,,,,,,,,,,,,,,,
5,ต้ม,ต้มยำขาหมู,ขาหมู และ ตีนหมู 1 กิโลกรัม หั่นเป็นชิ้นขนาดพิดคำ,ตะไคร้ 1 ต้น หั่นเป็นท่อนๆ,พริกขี้หนูสวน 10 เม็ด โขรกพอหยาบๆ,เห็ดฟาง 5-6 ดอกหั่นชิ้นๆ,ใบมะกรูด 5 ใบฉีกเอาเส้นกลางออก,หอมแดง 2 หัว บุบให้พอแตก,ข่า 1 หัว ซอยเป็นชิ้น,น้ำมะขามเปียก 1 ช้อนโต้ะ,น้ำปลา 3 ช้อนโต๊ะ,น้ำมะนาว 2 ช้อนโต๊ะ,ผักชีฝรั่ง 1 ต้น ซอยเล็กๆ,น้ำเปล่า 1 หม้อ ประมาณ 3 ลิตร,,,,,,,,,,,,,,
6,ต้ม,ขนมจีนน้ำใส,หมูยอดิบ 200 กรัม,วุ้นเส้น 50 กรัม,ต้นหอมซอย 5 ต้น,เห็ดหูหนูแห้ง 15-20 ดอก,พริกไทยป่น 2 ช้อนโต้ะ,ซอสปรุงรส 2 ช้อนโต้ะ,กระดูกเล้ง 1 กิโลกรัม,กระดูกซี่โครงหมู 1 กิโลกรัม,น้ำปล่า 3 ลิตร,เกลือป่น 1 ช้อนชา,หอมหัวใหญ่ 1 หัว,ขนมจีนเส้นสด สำหรับทานกับน้ำซุปกระดูก,ผักสดสำหรับทานกับขนมจีน คือ ผักกาดหอมซอย,,,,,,,,,,,,,
7,ต้ม,กระเพาะหมูตุ๋นพริกไทยดำ,เห็ดหอมแห้ง 4 – 5 ดอก โดยแช่น้ำให้นุ่มและหั่นเป็นชิ้นขนาดพอดีคำ,กระเพราะหมู 1 ก้อนประมาณ 2 ขีด,พริกไทยดำ 3 ช้อนโต้ะ,ซอสปรุงรส 4 ช้อนโต้ะ,คื่นฉ่าย 2 ต้น,ไข่นกกระทา 4-5 ฟอง,ผักชี สำหรับโรยหน้า,น้ำซุป 4 ถ้วย,,,,,,,,,,,,,,,,,,
8,ต้ม,แกงมะเขือเทศหมูสับ,หมูสับ 100 กรัม,มะเขือเทศ ลูกใหญ่ 4 ลูก โดยให้หั่นเป้นชิ้นๆเอาเฉพาะเนื้อมะเขือเทศ,ซอสปรุงรส 1 ช้อนโต้ะ,กระเทียมสดบด 2 กลีบ,เกลือป่น 1 ช้อนชา,น้ำตาลทราย  1 ช้อนชา,พริกไทยป่น 1 ช้อนชา,น้ำซุปกระดูกหมู 2 ถ้วยตวง,ไข่ไก่ 1 ฟอง,ผักสดสำหรับทานกับแกง เช่น ผักกาดหอม ถั่วงอก เป็นต้น,น้ำซุปหมู 1 หม้อ,น้ำมันพืชสำหรับผัด 1 ช้อนชา,,,,,,,,,,,,,,
9,ต้ม,แกงจืดเต้าหู้หมูสับ,ผักตำลึง หั่นเป็นท่อนขนาดพอคำ 1 จาน,คื่นฉ่าย หั่นเป็นท่อน 1 ต้น,เนื้อหมูสับ 1/2 จาน,มันหมูบด 3 ช้อนโต้ะ,กระเทียมสดบด 1 ช้อนโต๊ะ,พริกไทยป่น 1 ช้อนชา,ซอสน้ำมันหอย 1 ช้อนโต๊ะ,ซอสปรุงรส 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,เต้าหู้ไข่ 2 ห่อ หั่นเป็นท่อนขนาดพอดีคำ,แครอทหั่นเป็นชิ้นพอดีคำ 5-6 ชิ้น,ต้นหอมหั่นเป็นท่อน 1 ต้น,ผักกาดขาว หั่นให้ขนาดพอดีคำ 1 จาน,สาหร่ายอบแห้งหั่นให้ได้ขนาดพอดีคำ 5-6 ชิ้น,กระเทียมเจียว 1 ช้อนชา,น้ำซุปกระดูกหมู 2 ถ้วย,,,,,,,,,,
10,ต้ม,ไข่พะโล้,ไข่เป็ด 3-4 ฟอง,น้ำมันพืชสำหรับผัด 3 ช้อนโต๊ะ,หมูสามชั้น หั่นเป็นชิ้นหนาๆ 1 จาน,พริกไทยเม็ดแห้ง 1 ช้อนชา,รากผักชีบด 1 ช้อนโต๊ะ,กระเทียมบด 1 ช้อนโต๊ะ,อบเชย 2 ท่อน,โป๊ยกั๊ก 2 ดอก,เต้าหู้ทอด หั่นเป็นชิ้นๆ 1 จาน,น้ำปลา 2 ช้อนโต้ะ,ซอสถั่วเหลือง 2 ช้อนโต้ะ,น้ำตาลทราย 4 ช้อนโต้ะ,น้ำเปล่า 1 หม้อ,,,,,,,,,,,,,
11,ต้ม,แกงจืดสับปะรดกระดูกอ่อน,สับปะรดศรีราชา หั่นชื้นพอดีคำประมาร 1 จาน 10-20 ชื้น  ,ซี่โครงกระดูกหมูอ่อน หั่นเป็นท่อนพอดีคำ 1 จาน,แครอท หั่นเป็นชื้นพอดีคำ 5-6 ชิ้น,กุ้งแห้ง 1 ช้อนโต๊ะ,เม็ดตั้งฉ่าย 1 ช้อนโต๊ะ,ต้นหอม หั่นเป็นท่อน 1 ต้น,ผักชี ซอย 1 ช้อนโต้ะ,เกลือป่น 1 ช้อนชา,ซอสถั่วเปลือง 2 ช้อนโต๊ะ,เต้าหู้ไข่ 1 ชื้น หั่นเป็นท่อนพอดีคำ,น้ำซุปกระดูกหมู 1 ถ้วย,กระดูกซี่โครงส่วนเล้ง 5-6 ท่อน,,,,,,,,,,,,,,
12,ต้ม,ต้มแซ่บกระดูกอ่อน,ซี่โครงหมูส่วนกระดูกอ่อน หั่นเป็นชิ้นขนาดพอดีคำ 10 – 20 ชิ้น,ข่าแก่ หั่นบางๆ 4 ชิ้น,มะเขือเทศหั่น 3-4 ชิ้น,น้ำตาลปี๊บ 1 ช้อนชา,ต้นตะไคร้ หั่นเป็นท่อน 3-4 ท่อน,ผักชีฝรั่งซอย 2 ช้อนโต้ะ,หอมใหญ่ซอบหนาๆ 2 ช้อนโต้ะ,ใบมะกรูดฉีก 2 ใบ,น้ำมะขามเปียก 2 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,พริกสดบุบ 4-5 เม็ด,พริกป่น 1 ช้อนชา,,,,,,,,,,,,,,
13,ต้ม,แกงจืดฟักซี่โครงหมู,ซี่โครงหมู ส่วนหลังหั่นเป็นชิ้น 1/2 กิโลกรัม,ฟักเขียวอ่อน ปลอกเปลือก และ เอาเมล็ดออก หั่นเป็นชิ้นพอคำ 1 จาน,แครอทหั่นเป็นแผ่น 4-5 ชิ้น,เห็ดหอม 4-5 ดอก,เกลือ 1 ช้อนชา,ซอสถั่วเหลือง 2 ช้อนโต้ะ,รากผักชี 1 ต้น,พริกไทยแห้งเม็ด 1 ช้อนชา,กระเทียมสด 2-3 กลีบ,น้ำปล่า 2-3 ลิตร,,,,,,,,,,,,,,,,
14,ต้ม,ขนมจีนน้ำพริก,เนื้อกุ้งสด 1 จาน,หอมแดง 3 หัว,พริกแห้ง 5-10 เม็ด,ข่าซอย 2 ช้อนโต้ะ,น้ำตาลปี๊บ 4 ช้อนโต๊ะ,น้ำมะกรูด 3 ช้อนโต๊ะ,ถั่วเขียว 2 จาน,กระเทียม 4-5 กรีบ,รากผักชี 2 ต้น,หอมเจียว 1 ช้อนโต้ะ,กระเทียมเจียว 1 ช้อนโต้ะ,น้ำปลา 4 ช้อนโต๊ะ,น้ำมะขามเปียก 4 ช้อนโต้ะ,หัวกะทิ 1 ถ้วยตวง,หางกะทิ 4 ถ้วยตวง,พริกป่น 2 ช้อนโต๊ะ,น้ำมันพืช 3 ช้อนโต้ะ,ขนมจีน,ผักสดสำหรับทานคู่กับขนมจีน เช่น ผักกาดขาว กะหล่ำปลี ถั่วฝักยาว แตงกวา เป็นต้น,,,,,,,
15,ต้ม,ต้มเค็มฟักกับหมูสามชั้น,ฟักเขียว หั่นเป็นชิ้นพอคำ 1 จาน,หมูสามชั้น หั่นเป็นชิ้นพอคำ 1 จาน,กะปิ 1 ช้อนชา,น้ำตาลปี๊บ 2 ช้อนโต้ะ,ซอสถั่วเหลือง 3 ช้อนโต้ะ,ซอสหอยนางรม 1 ช้อนโต้ะ,รากผักชี พริกไทย โขรก 1 ช้อนโต้ะ,หอมแดงบุบ 3 หัว,น้ำมันพืช 1 ช้อนโต้ะ,น้ำเปล่า 2 ลิตร,,,,,,,,,,,,,,,,
16,ต้ม,แกงรัญจวน,ซี่โครงกระดูกหมู สับเป็นท่อนพอคำ 1 ถ้วย,หอมแดง 1 ช้อนโต้ะ (ทุบพบบุบ),กระเทียม 1 ช้อนโต้ะ (ใส่ทั้งกลีบ),พริกสด 5-10 เม็ด,ตะไคร้ซอย 2 ช้อนโต้ะ,ใบโหระพา 1 กำมือ,น้ำมะนาว 1 ช้อนโต้ะ,เกลือ 1 ช้อนชา,น้ำพริกกะปิ 2 ช้อนโต้ะ ,,,,,,,,,,,,,,,,,
17,ต้ม,หมูต้มใบชะมวง,ใบชะมวงอ่อน 1 ถ้วย,หมูสามชั้น หั่นเป็นชิ้นพอคำ 1 ถ้วย,ข่าแก่ ซอยละเอียด 2 ช้อนโต้ะ,หอมแดง ซอยละเอียด 2 ช้อนโต้ะ,กระเทียม บด 1 ช้อนโต้ะ,กะปิ 1 ช้อนชา,เกลือ 1/2 ช้อนชา,พริกไทยอ่อน 2 ช้อนโต้ะ,พริกแห้ง 2 ช้อนโต้ะ,น้ำซุป 2 ถ้วย,น้ำตาล 1 ช้อนโต้ะ,ซอสถั่วเหลือง 1 ช้อนโต้ะ,,,,,,,,,,,,,,
18,ต้ม,หมูหนาว,น้ำเปล่า 3 ลิตร,กระดูกหมู 1 กิโลกรัม,เกลือ 1 ช้อนชา,รากผักชี บด 1 ช้อนชา,พริกไทย 1 ช้อนชา,เนื้อหมูติดมัน หั่นเป็นชิ้นพอคำ 1 ถ้วย,เห็ดหูหนู ซอย 2 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,,
19,ต้ม,แกงเขียวหวานหมู,เนื้อหมูสันใน หั่นเป็นชิ้นพอคำ 1 ถ้วย,แป้งมัน 2 ช้อนโต้ะ,ซอสถั่วเหลือง 2 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,น้ำมันงา 1 ช้อนโต้ะ,พริกแกงเขียวหวาน 2 ช้อนโต้ะ,กะทิ 2 ถ้วยตวง,ใบโหระพา 2 ช้อนโต้ะ,มะเขือเปราะ 2 ลูก โดยหั่นเป็นชิ้นเล็กๆ,น้ำซุปไก่ 1 ถ้วยตวง,น้ำตาลปี๊บ 2 ช้อนโต๊ะ,น้ำปลา 3 ช้อนโต๊ะ,พริกชี้ฟ้าแดง หั่น 2 เม็ด,ใบมะกรูด หั่น 4 ใบ,,,,,,,,,,,,
20,ต้ม,ขาหมูต้มผักกาดดอง,ขาหมู หั่นเป็นชิ้น 1 ถ้วย,น้ำซุปหมู 1 หม้อ,ผักกาดดอง หั่นเป็นชิ้น 1 ต้น,น้ำตาล 1/2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,ซอสถั่วเหลือง 1 ช้อนโต้ะ,พริกไทย 1 ช้อนชา,,,,,,,,,,,,,,,,,,,
21,ต้ม,ก๋วยจั๊บน้ำข้น,รากผักชี บดละเอียด 1 ช้อนโต้ะ,ซอสถั่วเหลือง 3 ช้อนโต๊ะ,ซิอิ๊วดำ 1 ช้อนโต๊ะ,น้ำตาล 4 ช้อนโต๊ะ,ผงพะโล้ 1 ช้อนชา,กระเทียม บดละเอียด 1 ช้อนชา,พริกไทยเม็ด 1 ช้อนชา,น้ำเปล่า 3 ถ้วยตวง,ผักชีหั่น 1 ข้อนชา,ไข่ไก่ 2 ฟอง,หมูกรอบ 1 ถ้วย ,เต้าหู้ทอด 1 ถ้วย ( หั่นเป็นชิ้นพอคำ ),ตับหมู หั่นเป็นชิ้นพอคำ 1 ถ้วย,ไส้หมู 1 ถ้วย,เส้นก๋วยจั๊บ 1 ถ้วย,กระดูกหมู 2 กิโล,,,,,,,,,,
22,ต้ม,แกงคั่วหมูเทโพ,ผักบุ้ง หั่นเป็นท่อนขนาดพิดีคำ 1 ถ้วยตวง,หมูสามชั้น หั่นเป็นชิ้นพอดีคำ 1 ถ้วยตวง,น้ำพริกแกงคั่ว 3 ช้อนโต้ะ,หัวกะทิ 1 ถ้วยตวง,หางกะทิ 1 ถ้วยตวง,น้ำมะขามเปียก 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,ใบมะกรูด ซอย 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,,
23,ต้ม,ขนมจีนน้ำเงี้ยว,เส้นขนมจีน 1 จาน,พริกแห้ง 10 เม็ด,มะเขือเทศ หั่นลูกเต๋า 5-6 ลูก,หอมแดงซอย 2 ช้อนโต้ะ,กระเทียมซอย 2 ช้อนโต้ะ,เต้าเจี้ยวบดอย่างดี 2 ช้อนโต้ะ,น้ำตาล 1 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,เนื้อหมูสับ 4 ช้อนโต้ะ,เลือดหมูก้อน หั่นเป็นชิ้นพอคำ,ดอกงิ้วแห้ง 10-20 ดอก,ซี่โครงหมูหั่นเป็นท่อนพอดีคำ 20-25 ท่อน,น้ำซาวข้าว 4-5 ถ้วย,,,,,,,,,,,,,
24,ต้ม,แกงขนุนใส่ซี่โครงหมู,ซี่โครงกระดูกหมู 1 ถ้วย หั่นเป็นชื้นพอดีคำ,เนื้อขนุนดิบ 1 ถ้วย หั่นเป็นชื้นพอดีคำ,ยอดชะอมอ่อน ครึ่งถ้วย,มะเขือเทศ 2 ลูก นำมาผ่าครึ่ง,ผักชีฝรั่ง 1 ต้น นำมาซอยหยาบๆ,ใบชะพลู 3 ใบ นำซอยหยาบๆ,พริกแห้ง 4 เม็ด,หอมแดง 3 หัว,กระเทียม 2 หัว,กะปิ 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,น้ำเปล่า 2 ถ้วย,,,,,,,,,,,,,,
25,ต้ม,แกงผักปั๋งใส่แหนม,ยอดอ่อนผักปั๋ง 4 ถ้วย,แหนม ซอยเป็นชิ้น 1 ถ้วย,พริกหนุ่ม หั่นเป้นท่อน 4 ช้อนโต้ะ,หอมแดง 3 หัว,มะเขือเทศ หั่นครึ่ง 3 ลูก,กระเทียม 2 หัว,กะปิ 1/2 ช้อนโต้ะ,ปลาร้า 1 ช้อนชา,น้ำมะนาว 2 ช้อนโต๊ะ,เกลือ 1 ช้อนชา,ต้นหอมผักชีซอย 1/2 ถ้วย,น้ำซุปหมู 4 ถ้วย,,,,,,,,,,,,,,
26,ต้ม,แกงโฮะ,พริกแกงเผ็ด 1 ถ้วย,พริกแกงฮังเล 1 ถ้วย,แหนมหม้อ ขยี่ให้กระจาย 2 ถ้วย,หน่อไม้ดอง หั่นบางๆ 1 ถ้วย,แคบหมู 1 ถ้วย,วุ้นเส้น 1 ถ้วย,ใบมะกรูด ฉีก 4-5 ใบ,ผักตำลึง หั่นยาว 1 ถ้วย,ต้นตะไคร้ หั่นฝอย 2 ต้น,น้ำปลา 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,พริกสด บด 2 ช้อนโต๊ะ,กระเทียม บด 2 ช้อนโต๊ะ,มันพืช สำหรับผัด 3 ช้อนโต้ะ,,,,,,,,,,,,
27,ต้ม,แกงฮังเล,เนื้อขาหมู 1 กิโลกรัม,น้ำพริกแกงเผ็ด 3 ช้อนโต้ะ,ผงฮังเล 1 ช้อนชา,เกลือ 1 ช้อนชา,ซีอิ๊วดำ 1 ช้อนชา,ซีอิ๊วขาว 2 ช้อนโต๊ะ,น้ำปลา 2 ช้อนโต๊ะ,ขิงซอย 3 ช้อนโต้ะ,หัวหอมซอย 3 ช้อนโต้ะ,กระเทียมบด 2 ช้อน,น้ำตาลปี๊บ 3 ช้อนโต๊ะ,น้ำมะขามเปียก 1 ถ้วย,น้ำซุป 4 ถ้วย,กระท้อนเปรี้ยวสับ 1 ถ้วย,,,,,,,,,,,,
28,ต้ม,แกงอ่อมหมู,หมูสามชั้น 1 ขีด โดยนำมาหั่นเป็นชิ้นพบคำ,น้ำซุปกระดูก 3 ถ้วย,ใบมะกรูด 3-4 ใบนำมาซอย,พริกแห้ง 7 เม็ด,หอมแดง 5 หัว,กระเทียม 1 หัว,ข่า 1 หัวนำมาซอย,ตะไคร้ 1 ต้น นำมาซอย,รากผักชี 1 ราก นำมาซอย,กะปิ 1 ช้อนโต้ะ,ใบแมงลัก 1 กำมือ,ฟักทอง 3-4 ชิ้น,ผักชีลาว 1 ต้น นำมาหั่นเป็นท่อน,,,,,,,,,,,,,
29,ต้ม,ต้มแซปกระดูกอ่อน,เนื้อหมูและเครื่องในหมู 1 ถ้วย,ข่าหั่นบางๆ 3 ชิ้น,มะเขือหั่น  1 หัว,ตะไคร้ หั้น 1 ต้น,ใบมะกรูด 2 ใบ,น้ำมะนาว 2 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,ผงรสดี 1 ช้อนชา,พริก 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,,
30,ต้ม,ซุปมะเขือเวียดนาม,หมูสับ 1 ถ้วย,มะเขือเทศ ลูกใหญ่ 4 ลูก ( หั่นเป็นชิ้นๆ ),ซอสปรุงรส 1 ช้อนโต้ะ,กระเทียม บด 1 ช้อนชา,เกลือ 1 ช้อนชา,น้ำตาล  1 ช้อนชา,พริกไทย 1 ช้อนชา,ถั่วงอก 2 ช้อนโต้ะ,ใบโหระพา 1 ช้อนชา,ใบผักกาดหอม ซอยหยาบๆ 3 ช้อนโต้ะ,น้ำซุปหมู 1 หม้อ,น้ำมันพืช 1 ช้อนชา,,,,,,,,,,,,,,
31,ต้ม,ซุปรากบัวซี่โครงหมู,ซี่โครงหมู สับเป็นชิ้น 1 ถ้วย,ถั่วลิสง 2 ช้อนโต้ะ,รากบัวหั่น 1 ถ้วย,น้ำ 9 ถ้วยตวง,เกลือ 1 ช้อนชา,ซอสถั่วเหลือง 1 ช้อนโต๊ะ,เครื่องตุ๋นยาจีน 1 ชุด,,,,,,,,,,,,,,,,,,,
